 profile ,ambient,coolant,u_d,u_q,i_d,i_q,u_module,i_module,motor_speed,torque,stator_yoke,stator_tooth,stator_winding
 4.00 ,-0.2738,-1.07,0.18,1.6813,-0.756,-0.255,1.69,0.799,2,-0.255,-0.8,-0.4536,-0.3313
 4.00 ,-0.2738,-1.07,-1.243,0.483,-1.357,0.236,1.385,1.377,2,0.287,-0.277,0.3882,0.7125
 4.00 ,-0.2738,-1.07,-1.56,-0.504,-1.832,0.3426,1.6244,1.847,2,0.4358,0.1258,1.0378,1.5199
 4.00 ,-0.2738,-1.07,0.298,0.9577,1.029,-0.2457,1.0581,1.058,-0.14,-0.259,-1.556,-1.696,-1.767
 4.00 ,-0.2738,-1.07,-0.963,0.642,0.386,1.1368,1.2006,1.205,-0.14,1.0205,-1.053,-0.962,-0.8456
 4.00 ,-0.2738,-1.07,-1.498,-0.1402,-0.935,1.89,1.499,2.1098,-0.14,1.956,-0.179,0.388,0.947
 4.00 ,-0.2738,-1.07,-1.026,0.926,-0.8367,0.32286,1.3825,0.8984,1.212,0.3579,-0.7876,-0.514,-0.346
 4.00 ,-0.2738,-1.07,0.314,-0.712,1.0291,-0.2457,0.777,1.058,-0.952,-0.257,-1.7464,-1.98576,-1.969
 6.00 ,0.054,-1.066,-1.1521,0.71457,-1.0765,0.31158,1.363,1.1219,1.483,0.2022,-0.6214,-0.1806,0.01798
 6.00 ,0.2776,0.3024,-1.1521,0.71457,-1.0199,0.31158,1.363,1.068,1.483,0.2022,0.6152,0.866,0.8956
 6.00 ,1.0325,0.9921,-1.1521,0.71457,-0.99426,0.31158,1.363,1.0421,1.483,0.2022,1.3265,1.4313,1.2616
 6.00 ,0.8023,-1.071,-1.1521,0.71457,-1.0693,0.31158,1.363,1.1125,1.483,0.2022,-0.524,-0.08723,0.12695
 6.00 ,0.2967,-1.071,0.33146,-1.3026,1.029,-0.2457,1.344,1.0581,-1.2224,-0.1873,-1.747,-1.971,-1.7508
 6.00 ,0.5107,-1.071,2.0072,0.2822,-0.3626,-1.8277,2.028,1.8628,0.1303,-1.855,-0.733,-0.3802,-0.1352
 10.00 ,-1.0014199,-1.0716614,0.5141543,-0.14651136,0.9942949,-0.6174098,0.53462157,1.170391904,-0.64616776,-0.57429755,-1.6763544,-1.830404,-1.8317637
 20.00 ,-1.424,-1.0722,-1.07724,0.8659,-0.5605,0.5546,1.384,0.789,0.6714,0.5837,-1.0344,-0.898,-0.7285
 20.00 ,-0.469,-1.0722,-1.63,-0.8757,-2.063,0.63,1.8524,2.1565,1.7536,0.77046,0.19416,1.0392,1.5883
 20.00 ,-0.2931,-1.0722,-0.332,1.59286,-0.3594,0.0003313,1.6268,0.2196,1.2125,0.003896,-1.0672,-0.94316,-0.9978
 20.00 ,-0.8249,-1.0722,0.2989,1.75163,1.02927,-0.246,1.7757,1.0583,0.265772,0.265,-1.454,-1.553,-1.6657
 20.00 ,0.2411,-1.0722,-1.18347,0.62036,-1.263,0.2367,1.3356,1.2841,1.888475,0.289,-0.3977,0.1548,0.48646
 20.00 ,0.4933,-1.0722,-1.6254,-0.828,-1.978,0.39399,1.8152,2.0125,1.888475,0.4958,0.3183,1.3113,1.8527
 20.00 ,0.3174,-1.0722,-0.57275,-0.0917,0.2743,1.2848,0.58168,1.3138,-0.546065,1.186,-1.0307,-0.9124,-0.7263
 20.00 ,-0.1074,-1.0722,0.32292,-1.3,1.0291,-0.2457,1.3392,1.05807,-1.22243,-0.237,-1.7608,-1.9718,-1.9718
 20.00 ,0.591,0.9978,-0.941,0.87975,0.5514,0.9452,1.28935,1.0747,-0.00497,0.7988,0.8847,0.6873,0.4539
 20.00 ,0.68885,0.9978,0.3304,-1.12776,1.0291,-0.2457,1.17509,1.0581,-1.1413,-0.2501,0.4457,-0.01324,-0.3279
 27.00 ,-1.793,-1.0644,0.0309,-0.4332,0.82,0.48692366,0.434484,0.95378,-0.8166,0.3968,-1.574364,-1.7438,-1.7116668
 27.00 ,-1.435,-1.0644,-1.329,0.281,-1.4365,0.292234,1.3613335,1.463985,1.8888,0.3572,-0.38768,0.38499,0.74435
 27.00 ,-0.91,-1.0644,-0.597,-0.105,0.2539,1.3230641,0.60634,1.34722,-0.546,1.1219,-1.0208888,-0.8101384,-0.6561338
 27.00 ,-1.34,-1.0644,0.2874,-1.167,0.91877,0.276373,1.20201,0.959437,-1.1899,0.203,-1.7452365,-1.85624,-1.8151654
 27.00 ,-0.67,-1.0644,-0.8347,1.2395,-0.29855,0.2677077,1.47032,0.4332,0.807,0.31,-1.0813448,-1.0403697,-0.9769
 27.00 ,-0.657,-1.0644,-1.608,-0.702,-1.9279,0.56005,1.73981,2.0036,1.3477,0.6868,0.07138256,0.832738,1.2154
 27.00 ,-0.119,-1.0644,-1.067,0.89,0.4369,1.0689241,1.38892,1.155935,-0.00497,0.946,-1.0331694,-0.9342,-0.843762
 27.00 ,-0.409,-1.0644,-0.22155,-0.0502,0.70365,0.689,0.227018384,0.9848,-0.6,0.563,-1.4366,-1.51877,-1.4462442
 27.00 ,-0.235,-1.0644,-1.638,-0.9745,-2.2056,1.022707,1.90642,2.4308,0.563,1.2258,0.238,1.06555,1.6396
 27.00 ,0.1613,-1.0644,-1.606,-0.7248,-1.88716,0.3653841,1.75912,1.9222,1.943,0.4686,0.302236,1.293716,1.7399968
 27.00 ,0.00325,-1.0644,0.3119,-1.2517,1.06,-0.257,1.28954,1.09092146,-1.22243,-0.18935,-1.7463,-1.98123,-1.9000994
 29.00 ,-2.23736,-1.0528,-0.47067523,1.4679,-0.8318,-0.02075466,1.542578,0.8331804,1.888551,-0.00642,-0.8136363,-0.45361,-0.28428
 29.00 ,-1.7751,-1.0528,-1.6061,-0.61923,-1.910436,0.70023,1.72305582,2.033108,1.0231074,0.84504,-0.03288,0.715235,1.15603
 29.00 ,-0.844186,-1.0528,-1.619521,-0.79374,-1.97624,0.49732,1.799571809,2.0402,1.4422258,0.62036,0.209903,1.0983,1.5798545
 29.00 ,-1.25112,-1.0528,0.0305,-0.3976,0.8500961,0.4171,0.39970944,2.03715,-0.7922573,0.3241,-1.4776,-1.574557,-1.569376
 29.00 ,-1.5329,-1.0528,-0.26285,0.5563604,0.8500961,0.4171,0.6149722,0.946937,-0.30527896,0.329935,-1.44671,-1.544,-1.560064
 29.00 ,-1.15586,-1.0528,-1.601276,-0.6357726,-1.901061,0.581229,1.72346625,0.94697,1.2828287,0.709033,0.0703264,0.84525,1.2616
 29.00 ,-1.5259,-1.0528,0.28781,-1.1681199,0.92425007,0.262168,1.203099,0.9607,-1.189994,0.18884356,-1.62493,-1.772165,-1.75534
 29.00 ,-1.1005236,-1.0528,-0.90748,1.019869,-1.086276,0.1166775,1.3649224,1.0925,2.00789,0.154124,-0.5231,-0.03147,0.2783
 29.00 ,-1.0498,-1.0528,-1.60528,-0.6531054,-1.9128,0.679821,1.72861,2.03255,1.0663928,0.82354367,-0.01816,0.7702,1.1959
 30.00 ,-2.078,-1.0722,0.134976,-1.04628,-0.476605,2.0138,1.05520726,2.06942,-1.14126,2.01946,-0.481447,-0.209826,0.3060535
 30.00 ,-2.078,-1.0722,-0.09481,-0.563756,0.455439,1.00734,0.571639363,1.1055111,-0.8572,0.91308,-1.40905,-1.44437,-1.28515
 30.00 ,-2.078,-1.0722,0.28314,-1.1692,0.8201271,0.48692,1.202976475,0.9537816,-1.1954,0.40317,-1.7463,-1.880876,-1.78303
 30.00 ,-2.078,-1.0722,-0.85091,0.004936,0.0381722,1.561255,0.85053,1.561714,-0.4378,1.4847,-0.799432,-0.6006,-0.3336516
 30.00 ,-2.078,-1.0722,-0.3459,0.837765,0.8501474,0.41711,0.90639,0.946953,-0.1619,0.3266,-1.44231,-1.53589,-1.539134
 30.00 ,-2.078,-1.0722,0.26804,-0.783552,1.01398,-0.0914376,0.82787,1.01809237,-0.9952,-0.12103,-1.7463,-1.98576,-1.9144
 31.00 ,-1.93843,-1.0583,-1.6029,-0.6318353,-1.9177941,0.5606,1.722381,1.9969,1.34776,0.68863,0.0237033,0.8062031,1.261606
 31.00 ,-1.4902,-1.0583,-0.4642564,1.479856,-0.78869,-0.018783,1.548138,0.788307,1.83474,-0.0050961,-0.78697,-0.453522,-0.3131253
 31.00 ,-0.721551,-1.0583,-1.57187,-0.50135,-1.7970846,0.33911416,1.630906,1.83747648,2.024124,0.432214,0.193897,1.07853,1.5479739
 31.00 ,-1.285858,-1.0583,-1.11194,0.79488605,-0.77039,0.44722,1.3681145,0.892,0.942,0.49002,-0.8037525,-0.52993786,-0.389564
 31.00 ,-0.79797,-1.0583,-1.53891,-0.306406,-1.705,0.4565133,1.56776,1.7611,1.547963,0.55894,-0.056657,0.6894,1.10822
 32.00 ,-1.741752,-1.04897,-1.6333194,-0.8898305,-2.0935764,0.75781,1.8611195,2.2221583,0.9419434,0.9196546,0.14400603,0.961827,1.4912245
 32.00 ,-2.0186555,-1.04897,-0.1163676,1.5891435,0.9856156,0.05728514,1.592885,0.98728355,0.18440858,-0.004618,-1.409152,-1.444765,-1.53835
 32.00 ,-1.6248144,-1.04897,-1.427855,0.132827,-0.52733415,1.7740062,1.4338951,1.8509225,-0.14024,1.7682306,-0.3975355,0.053033,0.47199363
 32.00 ,-1.49123,-1.04897,-1.646136,-1.1666063,-2.51511,1.379121,2.01836353,2.8658765,0.24068087,1.6465203,0.55784,1.505878,2.266415
 32.00 ,-1.4628321,-1.04897,-0.4615068,1.515965,0.369768,0.226891,1.587604,0.43153862,0.4571202,0.1848233,-1.28653,-1.3007867,-1.356052
 32.00 ,-1.5063645,-1.04897,-1.038935,0.92851,-0.43563133,0.5447083,1.394026,0.6976823,0.6194457,0.5606,-1.03591553,-0.91151077,-0.81358
 32.00 ,-1.376724,-1.04897,-1.306731,0.4504242,-0.48686892,1.11096,1.381903,1.213764,0.1681754,1.1318225,-0.814895,-0.6007557,-0.388564
 36.00 ,-2.8871937,-1.05884668,0.3020223,-1.184889,1.0139763,-0.091444,1.2227563,1.01809154,-1.1899697,-0.118057,-1.7771778,-2.0080435,-1.9718252
 36.00 ,-2.75039,-1.05884668,0.2785036,-0.915824,1.013984,-0.091452,0.9572345,1.018102,-1.0601074,-0.1207111,-1.761032,-1.9863865,-1.971824
 36.00 ,-2.74986,-1.05884668,0.25202027,-0.58262277,1.0139705,0.0914487,0.6348795,1.018086995,-0.89777225,-0.1208203,-1.7463,-1.96598,-1.895215
 36.00 ,-2.74986,-1.05884668,0.22394219,-0.24876663,1.0139825,-0.091435,0.3346032,1.018094155,-0.73545074,-0.118756,-1.7462937,-1.883241,-1.868195
 36.00 ,-2.7498572,-1.05884668,0.19807816,0.07928774,1.0139734,-0.091443,0.213585,1.018102521,-0.57311934,-0.119858,-1.64062,-1.814197,-1.8231773
 36.00 ,-2.5530994,-1.05884668,0.16795532,0.41052657,1.013968,-0.09144156,0.44352145,1.01810477,-0.410792,-0.119595,-1.582406,-1.7528,-1.7814626
 41.00 ,-0.265027,-0.834872,-1.5528407,-0.3386,-1.6123168,0.86877,1.588192211,1.830385,0.6713963,0.99820656,0.014816746,0.461858,0.849102
 41.00 ,-0.502336,-0.8299815,0.354823,-1.2737,1.029143,-0.245721,1.3213067,1.058072,-1.2224298,-0.25564,-1.45025,-1.679853,-1.7207611
 42.00 ,0.2639646,1.2565,-0.8206187,1.2002349,-0.127924,0.3837476,1.45288124,0.404824287,0.6713945,0.37128,0.9533979,0.7727773,0.46979943
 42.00 ,0.03856575,0.32141712,-1.1960996,0.46308228,0.150819,1.4411511,1.28410521,1.449042623,-0.14024676,1.311668,0.62488323,0.7702012,0.69264024
 42.00 ,-0.07475097,0.328511,-0.70357025,1.3265407,0.2883759,0.42211035,1.496379316,0.511765,0.40084895,0.37128,0.11585157,-0.0735211,-0.29914102
 42.00 ,-0.0348953,0.3261133,-0.2471651,0.30811754,0.8201435,0.48692,0.394848335,0.953801,-0.4107897,0.37128,-0.028775,-0.27899015,-0.5029786
 42.00 ,0.327406,0.326633424,-0.6519887,0.1479389,0.3862126,1.13677,0.668156085,1.200598,-0.41079414,0.99820656,0.2758075,0.1519674,0.01796478
 44.00 ,-0.2916953,2.1724212,0.31214064,-0.7319512,1.0291339,-0.24571136,0.795497888,1.058052696,-0.95188475,-0.25563973,1.6257751,1.0408545,0.51639
 44.00 ,-0.1439391,2.1764479,0.2409127,1.758557,0.16612214,-0.24559979,1.7739572,0.296492755,0.9419405,-0.25563973,1.8712225,1.4010453,0.891058
 44.00 ,-0.18433242,-0.180525,-0.4013504,1.5489898,-0.11803516,0.07028292,1.599687395,0.136915446,0.9419413,0.057822,-0.3968856,-0.38271,-0.5228566
 44.00 ,-0.6297323,-0.18516268,0.36123428,-1.2995512,1.02914,-0.24572286,1.346947541,1.058108476,-1.2224298,-0.25563973,-0.818085,-1.1426697,-1.25561
 45.00 ,0.1314071,1.9409233,0.28568925,-0.19275661,1.0291148,-0.24571088,0.35326996,1.058094475,-0.6813339,-0.25563973,1.5129249,1.0039638,0.4689479
 45.00 ,-0.0532066,1.0972946,0.30819377,-0.16425335,1.0291784,-0.24570948,0.33982,1.05811375,-0.6813304,-0.25563973,0.612809,0.15590642,-0.17993553
 45.00 ,-0.24225785,-0.59977955,-0.2499967,0.32445753,0.82015723,0.486917,0.409875,0.95380431,-0.41079345,0.3712834,-0.8917,-1.0679032,-1.1310062
 45.00 ,-0.18440904,-0.6060135,0.3404673,-1.252892,1.0291444,-0.24572,1.2958845,1.05807,-1.2224307,-0.25563973,-1.2484959,-1.5160404,-1.5362827
 60.00 ,0.70336974,1.2431666,0.32152846,-1.330508,1.0291382,-0.245732,1.366060041,1.05807529,-1.2224311,-0.25563973,0.73644,0.259718,-0.10291226
 61.00 ,1.013307,0.318015,0.32085726,-1.2510792,1.0291727,-0.2457033,1.28951109,1.058077943,-1.222431,-0.25563973,-0.23171248,-0.59974056,-0.79978776
 62.00 ,-0.83929,0.8389598,0.30039668,-1.2650493,1.0291289,-0.24570034,1.299601035,1.05807669,-1.2224275,-0.25556397,0.22298677,-0.20681103,-0.48027304
 62.00 ,-0.68718565,0.32840416,0.30231127,-1.2666456,1.0291461,-0.24572095,1.302076464,1.058085019,-1.2224277,-0.25563973,-0.2720728,-0.64252305,-0.84597254
 62.00 ,-0.6873954,-0.1280858,0.30272552,-1.265042,1.029148,-0.24571304,1.300731878,1.058078099,-1.2224302,-0.25563973,-0.7750462,-1.0996164,-1.2259438
 62.00 ,-0.48033196,-0.64514345,0.31434092,-1.251193,1.0291338,-0.24571759,1.288153223,1.058067592,-1.2224313,-0.25563973,-1.3299422,-1.6174525,-1.6611563
 63.00 ,0.183922,2.1752777,0.313417,-1.3223438,1.0291644,-0.24572153,1.3609057,1.058090402,-1.2224314,-0.25563973,1.6513643,1.0615753,0.56244135
 65.00 ,0.6885936,0.17814142,0.35014695,-1.2640908,1.029176,-0.24572513,1.311832943,1.058078772,-1.22243,-0.25563973,-0.42422822,-0.79555064,-0.9777271
 65.00 ,0.6886077,-0.30078536,0.3506996,-1.2658018,1.0291382,-0.24571367,1.312569255,1.058068502,-1.2224301,-0.25563973,-0.94471705,-1.2528723,-1.3450142
 66.00 ,0.38110256,0.13924469,0.301421,-1.2977899,1.0291649,-0.24571107,1.3328016,1.058081092,-1.2224283,-0.25563973,-0.47515807,-0.8256254,-0.9902915
 66.00 ,0.35889372,0.5036734,0.3000277,-1.298822,1.0291387,-0.24570715,1.332104424,1.058056079,-1.2224306,-0.25563973,-0.060295656,-0.50635314,-0.72570187
 66.00 ,0.4375592,1.7022532,0.30111292,-1.2976255,1.029155,-0.24571112,1.331625777,-0.058055909,-1.2224284,-0.25563973,1.1507272,0.6172729,0.18456246
 67.00 ,0.6011133,-0.69396466,0.3484837,-1.2995812,1.0291439,-0.24570596,1.347660372,1.058070409,-1.2224317,-0.25563973,-1.4091766,-1.6798078,-1.6671361
 70.00 ,0.6704931,-0.8497078,0.35857967,-1.290821,1.0291467,-0.24571876,1.337904567,1.058074941,-1.2224307,-0.25563973,-1.4917601,-1.7472327,-1.7441032
 73.00 ,0.27431822,-0.01035112,0.3380342,-1.248698,1.029149,-0.24571335,1.295990543,1.058075248,-1.2224301,-0.25563973,-0.6077042,-0.9125368,-1.072151
 75.00 ,-0.2411467,1.3494442,0.32303113,-1.2464157,1.0291709,-0.24572623,1.287766871,1.058079639,-1.2224294,-0.25563973,0.786591,0.31127012,-0.06486415
 77.00 ,0.6004719,1.7037903,0.34208646,-1.3153964,1.0291333,-0.24570698,1.360189695,1.058094747,-1.2224319,-0.25563973,1.1696274,0.6339207,0.26793477
 78.00 ,0.318457,1.715707,0.33274877,-1.245004,1.0291446,-0.24571964,1.29157748,1.058065717,-1.2224308,-0.25563973,1.199666,0.651596,0.268647
 79.00 ,0.130134,2.148211,0.355374,-1.29961,1.029149,-0.24574,1.346808,1.058077,-1.22243,-0.25564,1.600552,1.004614,0.515698
 79.00 ,0.688609,1.747497,0.947436,0.657978,0.873824,-0.90776,1.153498,1.259979,-0.15149,-0.82303,1.417811,0.9992,0.514498
 80.00 ,0.05401037,1.6570301,0.30095,-1.2873558,1.0291462,-0.2456999,1.321680138,1.058061814,-1.2224315,-0.25563973,1.1224617,0.5904109,0.17122252
 81.00 ,-0.1812081,-0.045168,0.30035138,-1.293496,1.0291289,-0.24569623,1.328213446,1.058069354,-1.2224319,-0.25563973,-0.7347253,-1.0679032,-1.63065
 81.00 ,-0.1269778,1.9342867,0.30011594,-1.292275,1.0291393,-0.24571198,1.326890352,1.0580921,-1.222429,-0.25563973,1.372231,0.8051899,0.37239072
