shear_rate;particle_diameter;particles_adhering
50;0.720;25.60
50;0.720;16.56
50;0.720;22.13
50;0.968;25.79
50;0.968;29.16
50;0.968;27.40
50;1.829;40.01
50;1.829;38.57
50;1.829;41.04
50;4.899;64.49
50;4.899;52.76
50;4.899;54.23
50;6.596;61.55
50;6.596;55.70
50;6.596;74.75
75;0.720;17.78
75;0.720;21.50
75;0.720;17.78
75;0.968;17.15
75;0.968;19.35
75;0.968;18.61
75;1.829;17.30
75;1.829;20.81
75;1.829;20.08
75;1.829;23.45
75;1.829;29.90
75;1.829;28.21
75;4.899;48.85
75;4.899;60.42
75;4.899;42.43
75;4.899;55.28
75;4.899;54.64
75;6.596;47.32
75;6.596;39.24
75;6.596;35.77
75;6.596;40.40
75;6.596;46.74
75;6.596;50.78
90;0.720;14.92
90;0.720;15.31
90;0.720;14.07
90;0.968;13.22
90;0.968;14.65
90;0.968;14.92
90;1.829;13.68
90;1.829;17.59
90;1.829;13.68
90;4.899;28.57
90;4.899;29.71
90;4.899;32.00
90;4.899;29.71
90;4.899;30.28
90;6.596;27.18
90;6.596;29.23
90;6.596;18.98
90;6.596;24.62
90;6.596;22.05